question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,retrieval_precision,context_sufficiency,hallucination_rate,question_category,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
How much money has been raised by the host committee?,"[""$40 million"", ""over $40 million"", ""$40 million""]", The text does not provide information about how much money has been raised by the host committee.,0,0.0,0.4725339573838893,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What petroleum company was a Super Bowl sponsor?,"[""Chevron"", ""Chevron"", ""Chevron""]"," Based on the provided context, it is not possible to determine which petroleum company was a Super Bowl sponsor. The text only discusses the Super Bowl and its commercials, but does not mention any specific companies that were sponsors.",0,0.0,0.5472911007114889,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What is the name of the service that gets local businesses contract chances with the Super Bowl?,"[""Business Connect"", ""Business Connect"", ""Business Connect""]"," Based on the context provided, there is no mention of a specific service or organization that gets local businesses contract chances with the Super Bowl. The text discusses the economic impact of the Super Bowl on host cities but does not provide details about any particular service facilitating business opportunities.",0,0.038461538461538464,0.5440283013777262,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"What is the name of the fund that focuses on youth, community and sustainable environments?","[""the 50 fund"", ""the 50 fund"", ""50 fund""]"," Based on the context provided, the name of the fund that focuses on youth, community, and sustainable environments is not explicitly mentioned. However, it seems to be a hypothetical fund created by the character named ""John"" in the text.",0,0.09523809523809523,0.5789275177066123,0.0,False,0.0,cross_section,0.0,0.0,0.0,0.0
What percentage of money raised was earmarked for causes in the San Francisco area?,"[""25 percent"", ""25 percent"", ""25""]"," Based on the provided context, it is not explicitly stated what percentage of the money raised was earmarked for causes in the San Francisco area.",0,0.0,0.42531213549643876,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What is the name of the Host Committee's charitable initiative?,"[""the 50 fund"", ""the 50 fund"", ""50 fund""]"," Based on the provided context, there is no mention of a specific name for the Host Committee's charitable initiative.",0,0.09090909090909091,0.4239572513842229,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Who is the designer of the ""50?""","[""Tiffany & Co"", ""Tiffany & Co"", ""Tiffany & Co""]"," The text does not provide information about who designed the ""50.""",0,0.0,0.36000458887082015,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Who designed the Vince Lombardi Trophy?,"[""Tiffany & Co."", ""Tiffany & Co"", ""Tiffany & Co""]", The text provided does not contain information about who designed the Vince Lombardi Trophy.,0,0.0,0.36738629285857555,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What is the name of the trophy that all Super Bowl winners receive?,"[""the Vince Lombardi Trophy"", ""the Vince Lombardi Trophy"", ""Vince Lombardi Trophy""]"," Based on the provided context, there is no mention of a specific trophy for Super Bowl winners. The text discusses the Vince Lombardi Trophy being presented to the winning team of the first Super Bowl in 1967, but it does not establish this trophy as the standard prize for all subsequent Super Bowls. Therefore, the name of the trophy that all Super Bowl winners receive cannot be definitively determined from the given context.",0,0.10389610389610389,0.7431577403120521,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Who shared sideline duties with Evan Washburn?,"[""Tracy Wolfson"", ""Tracy Wolfson"", ""Tracy Wolfson""]"," Based on the provided context, it is not explicitly stated who shared sideline duties with Evan Washburn. However, it mentions that he worked alongside other analysts and reporters during the 2019 NFL Draft.",0,0.0,0.3906936809093167,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What resolution were the Eyevision cameras changed to?,"[""5K"", ""5K"", ""5K""]", The text does not provide information about any change in the resolution of the Eyevision cameras.,0,0.0,0.2821674907814674,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"How many different TV networks are considered to be the principal partners, when it comes to broadcasting NFL events?","[""three"", ""three"", ""three""]"," Based on the provided context, there are four principal partners for broadcasting NFL events. These are CBS, FOX, NBC, and ESPN/ABC.",0,0.0,0.4281634883099027,0.0,False,0.0,complex,0.0,0.0,0.0,0.0
Who reported on the sideline for ESPN Deportes?,"[""John Sutcliffe"", ""John Sutcliffe"", ""Sutcliffe""]"," Based on the provided context, it is not possible to determine who reported on the sideline for ESPN Deportes. The text only mentions that a reporter was present and did not provide their name.",0,0.0,0.41831180647761806,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Who was the sideline reporter for ESPN Deportes?,"[""John Sutcliffe."", ""John Sutcliffe"", ""Sutcliffe""]", The text does not provide information about a sideline reporter for ESPN Deportes.,0,0.0,0.3401545281270444,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What agency did the Spanish version of the Super Bowl?,"[""ESPN Deportes"", ""ESPN Deportes"", ""ESPN Deportes""]", The text does not provide information about a Spanish version of the Super Bowl or which agency organized it.,0,0.0,0.5166345497967203,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Which wireless company had exclusive streaming rights on mobile phones?,"[""Verizon"", ""Verizon"", ""Verizon""]"," Based on the context provided, it is not explicitly stated which wireless company had exclusive streaming rights on mobile phones. The text discusses a partnership between a wireless carrier and a streaming service for providing a discount to customers who subscribe to both services, but it does not specify if this partnership includes exclusive streaming rights.",0,0.0,0.5935840400901268,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Where was the ESPN Deportes Spanish version of Super Bowl 50 available?,"[""WatchESPN."", ""through WatchESPN"", ""WatchESPN""]"," Based on the provided context, it is not explicitly stated where the ESPN Deportes Spanish version of Super Bowl 50 was available. However, it can be inferred that it was likely available on cable or satellite television networks that carry ESPN Deportes in the United States.",0,0.0,0.6324982866790333,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
On what service could the ESPN Deportes broadcast be streamed?,"[""WatchESPN"", ""WatchESPN"", ""WatchESPN""]"," Based on the provided context, the ESPN Deportes broadcast could potentially be streamed on ESPN+, as it is mentioned that ESPN+ offers live and on-demand content from ESPN Deportes. However, for definitive information, one should refer to the official ESPN or ESPN+ websites or contact their customer service.",0,0.0,0.6263888909230492,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What talk show followed immediately after Super Bowl 50 on CBS?,"[""The Late Show with Stephen Colbert"", ""The Late Show with Stephen Colbert"", ""Late Show with Stephen Colbert""]"," Based on the provided context, it is not explicitly stated which talk show followed immediately after Super Bowl 50 on CBS. However, it's common for networks to air post-game analysis shows or special events following major sports events like the Super Bowl. Without specific information about the broadcast schedule, it's impossible to determine the exact title of the show that aired immediately after Super Bowl 50 on CBS.",0,0.05405405405405406,0.5475769466657792,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What CBS show followed the Super Bowl?,"[""The Late Show with Stephen Colbert"", ""The Late Show with Stephen Colbert"", ""Late Show with Stephen Colbert""]", The context does not provide information about which CBS show followed the Super Bowl.,0,0.2,0.45315599377704746,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What followed The Late Show with Stephen Colbert?,"[""late local programming"", ""late local programming"", ""late local programming""]"," Based on the context provided, it's not explicitly stated what followed ""The Late Show with Stephen Colbert."" However, the timeline suggests that it was preceded by ""The Colbert Report"" and succeeded by ""Late Night with Seth Meyers"" (as of 2021).",0,0.046511627906976744,0.5787348432492155,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What beverage company signed a contract allowing them to broadcast ads at a discount?,"[""Anheuser-Busch InBev"", ""Anheuser-Busch InBev"", ""Anheuser-Busch InBev""]"," Based on the context provided, it is not explicitly stated which beverage company signed a contract for advertising at a discount. However, it is mentioned that a beverage company negotiated a deal with a sports network to air their advertisements during a specific event at a reduced rate.",0,0.0,0.5566027780402379,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"What brand sponsored the ""Crash the Super Bowl"" contest?","[""Doritos"", ""Doritos"", ""Doritos""]"," Based on the provided context, it is not explicitly mentioned which brand sponsored the ""Crash the Super Bowl"" contest. However, the contest was a promotion by Doritos, and it invited users to create their own commercials for a chance to have them aired during the Super Bowl. So, while Doritos didn't sponsor the contest in the traditional sense, they were the brand behind the ""Crash the Super Bowl"" event.",0,0.02857142857142857,0.6279801099814394,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
Which company has held contests for fans to  create their own ad for the company?,"[""Doritos"", ""Doritos"", ""Doritos""]"," Based on the context provided, it appears that Coca-Cola has held contests for fans to create their own ads for the company. This is inferred from the mention of a ""Coca-Cola fan film festival"" where people could submit their own short films featuring Coca-Cola products. However, it's important to note that this information is based on the context provided and not directly stated. For definitive answers, one should refer to official sources or statements from the company itself.",0,0.0,0.43132961960425775,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What company won a free advertisement due to the QuickBooks contest?,"[""Death Wish Coffee"", ""Death Wish Coffee"", ""Death Wish Coffee""]"," Based on the provided context, it is not explicitly stated who won the free advertisement from the QuickBooks contest. The text mentions that there was a QuickBooks contest offering a free advertisement as a prize, but it does not provide any information about the winner of the contest.",0,0.0,0.3594848242940892,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What company had a contest to win a free Super Bowl commercial?,"[""QuickBooks."", ""QuickBooks"", ""QuickBooks""]"," Based on the context provided, it was Anheuser-Busch InBev that had a contest for people to win a free Super Bowl commercial. The contest was part of their ""Bud Light Super Bowl Commercial Dream Street"" campaign.",0,0.0,0.4113520851860594,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Besides Death Wish Coffee, how many other competitors participated in the contest?","[""nine"", ""nine"", ""nine""]", The text does not provide information about any other competitors in the contest besides Death Wish Coffee.,0,0.0,0.3187161517595392,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
"Along with 10 Cloverfield Lane, what Paramount trailer appeared during the Super Bowl?","[""Teenage Mutant Ninja Turtles: Out of the Shadows"", ""Teenage Mutant Ninja Turtles: Out of the Shadows"", ""Teenage Mutant Ninja Turtles: Out of the Shadows""]"," Based on the context provided, it's not possible to determine which other Paramount trailer appeared during the Super Bowl as the text only mentions ""10 Cloverfield Lane."" The Super Bowl is a popular event for premiering trailers, so it's likely that there were multiple trailers from various studios shown during the broadcast. Without additional context or information, I can't provide an accurate answer regarding another Paramount trailer that may have been shown during the Super Bowl.",0,0.02380952380952381,0.41606484819306183,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What Universal trailer debuted during the Super Bowl?,"[""Jason Bourne"", ""Jason Bourne"", ""Jason Bourne""]"," The question does not provide any context about a specific Universal trailer that debuted during the Super Bowl. Therefore, it is impossible to answer this question accurately based solely on the provided context.",0,0.0,0.45192867371070156,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
What famous July Fourth holiday movie did Fox pay to advertise a sequel of during the Super Bowl?,"[""Independence Day"", ""Independence Day"", ""Independence Day: Resurgence""]"," Based on the context provided, it is not explicitly stated which specific July Fourth holiday movie Fox advertised a sequel for during the Super Bowl. However, it is mentioned that Fox paid to promote an upcoming sequel to a popular July Fourth holiday movie during the Super Bowl, and the movie in question is likely Independence Day given its popularity and the timing of the advertisement.",0,0.05882352941176471,0.6569068414911327,0.0,False,0.0,short_factual,0.0,0.0,0.0,0.0
