question,ground_truth,answer,num_contexts,rouge_l,semantic_similarity,retrieval_precision,context_sufficiency,hallucination_rate,question_category,ctx_question_sim,ctx_ground_truth_sim,best_ctx_question_sim,best_ctx_gt_sim
Who was replaced by Kubiak in Super Bowl XXIV?,"[""Elway"", ""Elway"", ""Elway""]", Elway was replaced by Kubiak in Super Bowl XXIV.,5,0.19999999999999998,0.7015487625586356,1.0,False,0.0,short_factual,0.665881461268666,0.6494503011943222,0.7008030341723652,0.6883364969701611
"Which kicker had a portion of the turf collapse, causing him to miss a field goal?","[""Justin Tucker"", ""Justin Tucker"", ""Tucker""]"," The kicker who had a portion of the turf collapse under him, causing him to miss a field goal, was Justin Tucker from the Baltimore Ravens. This incident occurred during a week 6 game earlier in the 2015 season at the stadium where the Super Bowl was being hosted.",5,0.07843137254901959,0.6090975273927406,0.8,False,0.0,short_factual,0.6671441551520111,0.5061650061740641,0.7518354104277706,0.5521663549831788
What was used to sod the Levi's Stadium for Super Bowl 50? ,"[""hybrid Bermuda 419 turf"", ""Bermuda 419 turf"", ""hybrid Bermuda 419""]", A hybrid Bermuda 419 turf was used to sod the Levi's Stadium for Super Bowl 50.,5,0.4,0.7011876956770808,0.4,False,0.0,short_factual,0.6863322578047277,0.45427755795408115,0.7179786164084713,0.5851177868626968
What did a lot of players need to change during Super Bowl 50 because of the condition of the field?,"[""their cleats"", ""cleats"", ""cleats""]"," During Super Bowl 50, a lot of players needed to change their cleats due to the problematic condition of the field.",5,0.17391304347826084,0.6971972669644833,0.6,False,0.0,short_factual,0.6707084719559656,0.5242892267343296,0.6720182521784352,0.6310204706420106
What was the final score of Super Bowl XXXIII?,"[""34–19"", ""34–19"", ""34–19""]"," The final score of Super Bowl XXXIII was 34–19, with the Denver Broncos defeating the Atlanta Falcons.",5,0.1111111111111111,0.5858367648331548,1.0,False,0.0,short_factual,0.6839158485545435,0.5438494194629995,0.6863879076991033,0.5712453420266863
What team lost Super Bowl XXXIII?,"[""Atlanta Falcons"", ""the Atlanta Falcons"", ""Falcons""]"," Based on the provided context, it is not explicitly stated which team lost Super Bowl XXXIII. However, since we know that the Denver Broncos won Super Bowl XXXIII against the Atlanta Falcons, we can infer that the Atlanta Falcons are the team that lost Super Bowl XXXIII.",5,0.12,0.6879367103240409,1.0,False,0.0,short_factual,0.6687354455032303,0.5987811137565213,0.6880848417833001,0.6715618781263774
What was Elway's final game as the Denver quarterback?,"[""Super Bowl XXXIII"", ""Super Bowl XXXIII"", ""Super Bowl XXXIII""]"," Elway's final game as the Denver quarterback was Super Bowl XXXIII, where the Broncos defeated the Atlanta Falcons 34–19.",5,0.2727272727272727,0.7047353427507752,1.0,False,0.0,short_factual,0.735506024560793,0.6153652899835979,0.7632107034368669,0.6496479731990683
What was the name of the hotel the Panthers chose to stay in during Super Bowl 50?,"[""Santa Clara Marriott"", ""the San Jose Marriott"", ""Marriott""]", The Panthers stayed at the San Jose Marriott during Super Bowl 50.,5,0.5,0.6257830140300865,0.0,False,0.0,short_factual,0.708842929817845,0.45384344074027244,0.7551721534037974,0.49361394160449124
In what city's Marriott did the Broncos stay?,"[""Santa Clara"", ""Santa Clara"", ""Santa Clara""]", The Broncos stayed at the Santa Clara Marriott.,5,0.4,0.5935769438320213,0.0,False,0.0,short_factual,0.628773264075516,0.4051050926335712,0.6317513799676988,0.4659337991251296
Where did the Broncos practice for the Super Bowl?,"[""Stanford University"", ""at Stanford University"", ""Stanford""]", The Broncos practiced at Stanford University.,5,0.6666666666666666,0.7109386308064172,0.0,False,0.0,short_factual,0.6925875933440774,0.4276548470936531,0.7122723809872312,0.4723801185082667
"If Roman numerals were used in the naming of the 50th Super Bowl, which one would have been used?","[""L"", ""L"", ""L""]"," If Roman numerals were used in the naming of the 50th Super Bowl, it would have been named Super Bowl L (which is 50 in Roman numerals). However, as stated in the context provided, they used Arabic numerals instead.",5,0.05,0.5218108051599379,0.2,False,0.0,short_factual,0.7312108672503308,0.4586050417359185,0.788121771647145,0.5120418222816449
In what year was it declared that no Roman numerals would be used in the name of the 50th Super Bowl?,"[""2014"", ""2014"", ""2014""]", The year it was declared that no Roman numerals would be used in the name of the 50th Super Bowl was 2014.,5,0.08695652173913045,0.4721429738277664,0.0,False,0.0,short_factual,0.7046702534793224,0.402524035513525,0.76997427530984,0.4358833124148145
"Which Super Bowl, after the 50th one, will begin have Roman numerals in the title again?","[""Super Bowl LI"", ""LI"", ""LI""]", The Super Bowl that will begin having Roman numerals in the title again is Super Bowl LI (Super Bowl 51).,5,0.2608695652173913,0.7280165814131029,1.0,False,0.0,short_factual,0.746372719782729,0.6710409335736607,0.803074336485037,0.6974146448421976
"Since this was the 50th one, what was the theme color for the Super Bowl?","[""gold"", ""gold"", ""gold""]", The theme color for Super Bowl 50 was gold.,5,0.19999999999999998,0.6207036244514971,0.6,False,0.0,short_factual,0.7193559763377879,0.5017244839605141,0.7390333854641269,0.557466124320001
"Because of the gold theme, what was Super Bowl 50 known as?","[""Golden Super Bowl"", ""the \""Golden Super Bowl\"""", ""Golden Super Bowl""]"," Super Bowl 50 was known as the ""Golden Super Bowl"".",5,0.5714285714285715,0.8996773363617717,1.0,False,0.0,short_factual,0.7298547918039924,0.7200191830856276,0.7336363872296984,0.7598576342378784
"What color were the footballs handed out to a variety of high schools, leading up to Super Bowl 50?","[""gold"", ""gold"", ""Gold""]"," The footballs handed out to a variety of high schools, leading up to Super Bowl 50, were gold-colored.",5,0.0,0.5899350903097654,0.8,False,0.0,short_factual,0.7165260189629227,0.527186826404672,0.7373825484174592,0.557466124320001
Who was the mayor of San Francisco during Super Bowl 50? ,"[""Ed Lee"", ""Ed Lee"", ""Lee""]"," The text does not explicitly state who the mayor of San Francisco was during Super Bowl 50. However, it is mentioned that Ed Lee was the mayor at the time when the homeless issue was discussed in relation to Super Bowl Week. Therefore, it can be inferred that Ed Lee was likely the mayor of San Francisco during Super Bowl 50, but this information is not definitively confirmed by the provided context.",5,0.05405405405405406,0.5910417285638883,0.0,False,0.0,short_factual,0.6851192234841169,0.4781050854146359,0.694379059754013,0.49447712604225347
"When was the opening of ""Super Bowl City""?","[""January 30"", ""January 30"", ""January 30""]"," The opening of ""Super Bowl City"" was on January 30.",5,0.33333333333333337,0.6053215270519892,0.0,False,0.0,short_factual,0.7299876501088116,0.45443765555803656,0.742777666128865,0.4627351714097618
In what venue did the NFL Experience take place?,"[""Moscone Center"", ""the Moscone Center"", ""Moscone Center""]", The NFL Experience took place at the Moscone Center in San Francisco.,5,0.4,0.6801366189438305,0.4,False,0.0,short_factual,0.7052511513116212,0.49457734155457916,0.7537686657824663,0.5502669060425402
What type of rally was held?,"[""pep rally"", ""pep"", ""pep""]"," The text mentions a motor rallying event called the Safari Rally, which is held in Kenya. It's known as one of the toughest rallies in the world.",5,0.06896551724137931,0.5509134206196497,0.4,False,0.0,short_factual,0.5581771963240154,0.4963820486922409,0.5705304263326216,0.5917260794851328
How much money was spent on other festivities in the Bay area to help celebrate the coming Super Bowl 50?,"[""$2 million"", ""$2 million"", ""$2 million""]"," The text does not provide information about how much money was spent on other festivities in the Bay Area to help celebrate Super Bowl 50. It only mentions that the Super Bowl 50 Host Committee raised over $40 million through sponsors, and 25 percent of this amount will be dedicated for philanthropic causes in the Bay Area.",5,0.033898305084745756,0.519886051074284,0.4,False,0.0,complex,0.7337001322633563,0.4788816778488397,0.7641509748469252,0.5336606531781118
Who may have been called upon to fund the festival associated with the Super Bowl in Santa Clara?,"[""city council"", ""the city council"", ""city council""]"," Based on the context provided, it is suggested that the city council may be called upon to help fund the festival associated with the Super Bowl in Santa Clara. However, it's also mentioned that a professional fundraiser will aid in finding business sponsors and individual donors, so it's possible that they might also contribute to the funding of the event.",5,0.09523809523809523,0.5962381538535644,0.6,False,0.0,short_factual,0.7368592371792924,0.49323638509270895,0.7896038761399309,0.5587414626753595
What day was Super Bowl 50 media day switched to?,"[""Monday"", ""Monday"", ""Monday""]", The game's media day for Super Bowl 50 was moved to Monday evening.,5,0.14285714285714288,0.5567055105564733,0.0,False,0.0,short_factual,0.7113175755023711,0.42679319253417375,0.7286554194751328,0.4467081046488903
In what city is SAP Center located?,"[""San Jose"", ""San Jose"", ""San Jose.""]"," The context provided does not mention any location named ""SAP Center."" Therefore, it's impossible to determine where the SAP Center is based on this information.",5,0.0,0.4052544071116897,0.8,False,1.0,short_factual,0.5569124363039867,0.539036141730435,0.591990626962321,0.6005855103201047
What was the name of the Media Day event for Super Bowl 50?,"[""Super Bowl Opening Night"", ""Super Bowl Opening Night"", ""Super Bowl Opening Night.""]"," The Media Day event for Super Bowl 50 was re-branded as ""Super Bowl Opening Night"".",5,0.4210526315789474,0.8143409443912357,1.0,True,0.0,short_factual,0.7061057369798104,0.6963184169291494,0.7165654349860221,0.7628402164429389
How much money has been raised by the host committee?,"[""$40 million"", ""over $40 million"", ""$40 million""]", The host committee has raised over $40 million.,5,0.5454545454545454,0.7974174469684806,1.0,False,0.0,short_factual,0.6196526432273194,0.5818875179267395,0.634092781671321,0.6362432982602552
What petroleum company was a Super Bowl sponsor?,"[""Chevron"", ""Chevron"", ""Chevron""]", The context provided does not mention any petroleum company as a Super Bowl sponsor.,5,0.0,0.43025287106332305,0.0,False,0.0,short_factual,0.6670247989260135,0.458652591258661,0.6694932525306291,0.4860348406816216
What is the name of the service that gets local businesses contract chances with the Super Bowl?,"[""Business Connect"", ""Business Connect"", ""Business Connect""]"," The name of the service that provides local businesses with contracting opportunities in and around the Super Bowl is called ""Business Connect"".",5,0.16666666666666669,0.7099246627720471,0.4,False,0.0,short_factual,0.6923510478611066,0.49761060855382555,0.7176544919134251,0.5642077205765358
"What is the name of the fund that focuses on youth, community and sustainable environments?","[""the 50 fund"", ""the 50 fund"", ""50 fund""]"," Based on the provided context, there is no information about a fund focusing on youth, community, and sustainable environments in the given text.",5,0.15384615384615383,0.4849408955076449,0.0,False,1.0,cross_section,0.5493409822571271,0.40060789887915565,0.5653489080613177,0.4565770948838173
What percentage of money raised was earmarked for causes in the San Francisco area?,"[""25 percent"", ""25 percent"", ""25""]"," Based on the provided context, 25% of the money raised by the Super Bowl 50 Host Committee is earmarked for philanthropic causes in the Bay Area. However, it's not explicitly stated that all the causes will be in the San Francisco area specifically.",5,0.04545454545454545,0.45145554939824534,0.0,False,0.0,short_factual,0.6522504794702103,0.3845557079806605,0.6631006543741836,0.4073840860237495
